Year,DMI,tm_1,Nino_3.4
2006,-0.139487334,15/03/2006,-0.728848188
2006,0.315304637,15/04/2006,-0.160566204
2006,0.168101294,17/05/2006,0.048344359
2006,-0.049816157,17/06/2006,0.189510967
2006,-0.064752873,15/07/2006,0.048051442
2006,0.48773071,16/08/2006,0.292065234
2006,1.30402268,16/09/2006,0.563557771
2006,1.481304202,14/10/2006,0.679037262
2006,1.292532092,15/11/2006,1.026803772
2006,0.428827685,16/12/2006,1.132874119
2007,0.129057785,17/01/2007,0.544442966
2007,-0.016785977,17/02/2007,-0.072810667
2007,0.400835805,17/03/2007,-0.10232812
2007,0.393723356,14/04/2007,0.029203125
2007,0.492044553,16/05/2007,-0.286587208
2007,0.401659053,16/06/2007,-0.089332927
2007,0.286452868,14/07/2007,-0.492628984
2007,0.339206954,15/08/2007,-0.724345414
2007,0.90397114,15/09/2007,-1.014581068
2007,0.483567941,17/10/2007,-1.55589141
2007,0.021176131,17/11/2007,-1.642628436
2007,-0.495746582,15/12/2007,-1.669943448
2008,-0.132015111,16/01/2008,-1.947372151
2008,-0.255534256,16/02/2008,-2.029513925
2008,0.28726142,15/03/2008,-1.214650745
2008,0.00419645,16/04/2008,-0.930373603
2008,0.369423041,17/05/2008,-0.686073952
2008,0.653924858,14/06/2008,-0.487897828
2008,0.768001877,16/07/2008,-0.098658302
2008,0.630195498,16/08/2008,-0.071747224
2008,0.195608367,13/09/2008,-0.315861717
2008,0.16057805,15/10/2008,-0.452608424
2008,-0.183433088,15/11/2008,-0.386080463
2008,-0.238673107,17/12/2008,-0.916633513
2009,-0.205614171,17/01/2009,-1.1378689
2009,0.347633531,14/02/2009,-0.806528895
2009,0.663914032,14/03/2009,-0.649566614
2009,0.203530881,15/04/2009,-0.268166524
2009,0.468022784,16/05/2009,0.185042161
2009,0.189763067,13/06/2009,0.427781007
2009,-0.079783207,15/07/2009,0.654918855
2009,0.118813218,15/08/2009,0.592394711
2009,-0.112758018,16/09/2009,0.673530828
2009,0.051137051,17/10/2009,0.888600274
2009,-0.169322772,14/11/2009,1.499694609
2009,0.325564434,16/12/2009,1.6489482
2010,0.38045683,16/01/2010,1.377827123
2010,-0.04935963,13/02/2010,1.093977382
2010,0.251649905,17/03/2010,0.992424139
2010,0.463873328,17/04/2010,0.567426634
2010,-0.391058965,15/05/2010,-0.193621448
2010,0.008228676,16/06/2010,-0.662602071
2010,-0.143635067,17/07/2010,-1.24448586
2010,-0.443668173,14/08/2010,-1.392067986
2010,-0.930419807,15/09/2010,-1.731367356
2010,-0.957481514,16/10/2010,-1.762857031
2010,-0.333663437,13/11/2010,-1.615575209
2010,-0.202280609,15/12/2010,-1.688067961
2011,-0.033542862,15/01/2011,-1.77366024
2011,-0.095394286,12/02/2011,-1.405401951
2011,0.302409509,16/03/2011,-1.063086878
2011,0.371523247,16/04/2011,-0.730934536
2011,0.215341052,14/05/2011,-0.46730516
2011,0.125173783,15/06/2011,-0.19081897
2011,0.356141808,16/07/2011,-0.330941334
2011,0.488103531,17/08/2011,-0.744427285
2011,0.882487215,17/09/2011,-0.818461021
2011,0.52617088,15/10/2011,-1.070668113
2011,0.128198868,16/11/2011,-1.115815045
2011,-0.06570202,17/12/2011,-1.094166231
2012,0.130091813,14/01/2012,-1.197559217
2012,-0.22855593,15/02/2012,-0.845411278
2012,0.227455469,17/03/2012,-0.609143186
2012,0.034516764,14/04/2012,-0.403127579
2012,0.222559305,16/05/2012,-0.064748884
2012,0.054704524,16/06/2012,0.32512952
2012,0.288725276,14/07/2012,0.45375345
2012,1.08246144,15/08/2012,0.631333858
2012,0.878309663,15/09/2012,0.390339571
2012,0.490704593,17/10/2012,0.20500076
2012,0.304233268,17/11/2012,0.288272473
2012,0.120918885,15/12/2012,-0.177433718
2013,-0.133003439,16/01/2013,-0.534648681
2013,-0.127017323,16/02/2013,-0.507816159
2013,0.033596106,16/03/2013,-0.237872292
2013,-0.082829213,13/04/2013,-0.091200149
2013,-0.435814667,15/05/2013,-0.282363362
2013,-0.473119102,15/06/2013,-0.228851152
2013,-0.690884241,17/07/2013,-0.376446875
2013,-0.322571934,17/08/2013,-0.382549811
2013,-0.23509221,14/09/2013,-0.120280097
2013,-0.079286447,16/10/2013,-0.406207205
2013,-0.004510844,16/11/2013,-0.027430008
2013,-0.27277322,14/12/2013,-0.077271763
2014,-0.137686326,15/01/2014,-0.622029669
2014,-0.084413178,15/02/2014,-0.664119844
2014,-0.406671671,15/03/2014,-0.185061407
2014,-0.113507311,16/04/2014,0.254765564
2014,0.153875872,17/05/2014,0.452135864
2014,-0.275489099,14/06/2014,0.463020298
2014,-0.474953109,16/07/2014,0.09361306
2014,-0.578210421,16/08/2014,0.125712902
2014,-0.376859715,13/09/2014,0.394979891
2014,0.222670678,15/10/2014,0.397260778
2014,0.202257839,15/11/2014,0.817804004
2014,-0.379902017,17/12/2014,0.690755896
2015,-0.520620561,17/01/2015,0.415133998
2015,-0.685362388,14/02/2015,0.469585069
2015,-0.032381904,14/03/2015,0.495638567
2015,0.29454479,15/04/2015,0.800550952
2015,0.475048988,16/05/2015,1.027121172
2015,0.381395688,13/06/2015,1.29765785
2015,0.293715264,15/07/2015,1.516212205
2015,0.561159549,15/08/2015,1.973789981
2015,0.936340443,16/09/2015,2.205537473
2015,0.894391341,17/10/2015,2.400720789
2015,0.775602009,14/11/2015,2.912868378
2015,-0.088611582,16/12/2015,2.742307742
2016,-0.639243997,16/01/2016,2.466485474
2016,-0.512397409,13/02/2016,2.311488981
2016,-0.102480814,16/03/2016,1.612427185
2016,-0.025698915,16/04/2016,1.076880962
2016,-0.14857608,14/05/2016,0.325211704
2016,-0.731624323,15/06/2016,-0.155850727
2016,-1.270678358,16/07/2016,-0.56513043
2016,-0.776258673,17/08/2016,-0.655500503
2016,-1.3147794,17/09/2016,-0.671146298
2016,-0.807277445,15/10/2016,-0.81576792
2016,-0.443256093,16/11/2016,-0.599104137
2016,-0.389967842,17/12/2016,-0.468414016
2017,-0.252505626,14/01/2017,-0.451766762
2017,0.242669114,11/02/2017,-0.014323825
2017,0.153013769,15/03/2017,0.041744952
2017,0.628392308,15/04/2017,0.33578259
2017,0.903489626,17/05/2017,0.439796878
2017,0.520765562,17/06/2017,0.546765033
2017,0.52997786,15/07/2017,0.324863799
2017,0.744978843,16/08/2017,-0.235543075
2017,0.285854455,16/09/2017,-0.523309932
2017,0.144218997,14/10/2017,-0.553939565
2017,-0.040636563,15/11/2017,-0.856896942
2017,-0.278974124,16/12/2017,-0.843201153
2018,-0.244489743,17/01/2018,-0.880111979
2018,0.49042384,17/02/2018,-1.011154879
2018,0.162804197,17/03/2018,-0.800742913
2018,0.31955635,14/04/2018,-0.340562762
2018,0.548612205,16/05/2018,-0.152605128
2018,0.142675607,16/06/2018,0.214775014
2018,0.552186724,14/07/2018,0.251636598
2018,0.401455745,15/08/2018,0.162220647
2018,0.97313568,15/09/2018,0.31009535
2018,0.641860107,17/10/2018,0.792639761
2018,0.853047646,17/11/2018,0.939869067
2018,0.290652375,15/12/2018,0.900915887
2019,0.080341029,16/01/2019,0.400344432
2019,-0.020345227,16/02/2019,0.617696902
2019,0.119291767,16/03/2019,0.937310466
2019,0.090920619,13/04/2019,0.837401845
2019,1.112773206,15/05/2019,0.715210408
2019,0.665328039,15/06/2019,0.568695462
2019,0.609226745,17/07/2019,0.354804489
2019,1.579142959,17/08/2019,-0.001545337
2019,1.305854371,14/09/2019,-0.122734391
2019,2.39918964,16/10/2019,0.537544109
2019,2.28363927,16/11/2019,0.560156182
2019,0.942875881,14/12/2019,0.409295306
2020,0.333635956,15/01/2020,0.436793281
2020,-0.183887866,15/02/2020,0.272110101
2020,-0.306876744,14/03/2020,0.524616887
2020,0.137828958,15/04/2020,0.559965087
2020,0.533618391,16/05/2020,-0.320434667
2020,0.60490601,13/06/2020,-0.367240562
2020,0.412481363,01/07/2020,-0.384010614
